"السلام عليكم","Hello / Peace be upon you"
"كيف داير؟","How are you doing?"
"بيخير والحمد لله","I'm fine, praise be to God"
"شكرا بزاف","Thank you very much"
"عفاك","Excuse me / Please"
"لا شكر على واجب","You're welcome"
"بسلامة","Goodbye (to someone leaving)"
"إلى اللقاء","See you later"
"صباح الخير","Good morning"
"تصبح على خير","Good night"
"سمح ليا","Sorry / Excuse me"
"ما فهمتش","I didn't understand"
"عاود تاني عافاك","Please repeat"
"واش كاتهضر العربية؟","Do you speak Arabic?"
"كانهضر شوية د الدارجة","I speak a little Darija"
"وين كاين الحمام؟","Where is the bathroom?"
"بشحال هادشي؟","How much is this?"
"غالي بزاف","Too expensive"
"عندك شي حاجة رخيصة؟","Do you have something cheaper?"
"فين كاين أقرب بنك؟","Where is the nearest bank?"
"واش يمكن ليك تعاونّي؟","Can you help me?"
"ماشي مشكل","No problem"
"زوين","Beautiful / Nice"
"بنين","Delicious"
"كنبغي نمشي لـ...","I want to go to..."
"كنقلب على...","I'm looking for..."
"واش عندكم واي فاي؟","Do you have WiFi?"
"كرهبة قطعات","The electricity is out"
"عندي جوع","I'm hungry"
"عندي عطش","I'm thirsty"
"كنخدم هنا","I work here"
"أنا مسافر","I'm a tourist"
"من وين نتا؟","Where are you from?"
"أنا من أمريكا","I'm from America"
"كتعجبني المغرب","I like Morocco"
"الجو زوين اليوم","The weather is nice today"
"كاين البرد","It's cold"
"كاين الحر","It's hot"
"شنو كاتاكل؟","What do you eat?"
"كنبغي الطاجين","I like tajine"
"الكسكس بنين","Couscous is delicious"
"كتشرب أتاي؟","Do you drink tea?"
"أتاي نعناع عافاك","Mint tea please"
"قهوة بلا سكر","Coffee without sugar"
"الفاتورة عافاك","The bill please"
"تبارك الله عليك","God bless you"
"الله يعطيك الصحة","May God give you health"
"ربي يحفظك","May God protect you"
"بالتوفيق","Good luck"
"عيد مبارك","Happy holiday"
"رمضان كريم","Ramadan Kareem"
"الحمد لله","Praise be to God"
"إن شاء الله","God willing"
